topic,term,beta
8,3_day_free,2.2379421227328622e-153
9,3_day_free,2.3574977014272134e-260
10,3_day_free,6.871230419224012e-83
11,3_day_free,1.965088358136138e-197
12,3_day_free,1.9776264131300634e-238
13,3_day_free,6.1965791576930246e-245
14,3_day_free,4.2934173766291853e-243
15,3_day_free,1.3540241862668364e-203
16,3_day_free,1.5713025478155737e-261
1,3_day_week,7.694263038820257e-234
2,3_day_week,5.032651703461745e-254
3,3_day_week,1.7890340201136778e-193
4,3_day_week,2.922583078319787e-250
5,3_day_week,6.786541624811036e-295
6,3_day_week,1.8581813451297814e-229
7,3_day_week,6.515606508430687e-236
8,3_day_week,5.865241648251689e-274
9,3_day_week,3.4782713352814225e-263
10,3_day_week,6.094820116781816e-4
11,3_day_week,7.455299166410056e-195
12,3_day_week,1.140899483869814e-282
13,3_day_week,5.3419841926885805e-229
14,3_day_week,1.4363403724759328e-173
15,3_day_week,3.8696301333855173e-166
16,3_day_week,4.724353556379859e-217
1,3_day_weekend,6.012526947848168e-213
2,3_day_weekend,1.3080348201808847e-215
3,3_day_weekend,7.686730600354772e-198
4,3_day_weekend,3.3038641992248634e-211
5,3_day_weekend,2.0785309570739424e-111
6,3_day_weekend,1.1282731853084506e-53
7,3_day_weekend,9.197848191267742e-221
8,3_day_weekend,3.3563418742080844e-174
9,3_day_weekend,3.3110978155187545e-230
10,3_day_weekend,1.828446035034545e-4
11,3_day_weekend,4.598330783289476e-196
12,3_day_weekend,8.876246657441954e-241
13,3_day_weekend,3.494007778670634e-212
14,3_day_weekend,4.443374578706188e-172
15,3_day_weekend,1.5476330359433605e-195
16,3_day_weekend,1.8582357454117772e-177
1,3_week_paid,0
2,3_week_paid,0
3,3_week_paid,4.4271693267e-314
4,3_week_paid,0
5,3_week_paid,0
6,3_week_paid,0
7,3_week_paid,0
8,3_week_paid,0
9,3_week_paid,0
10,3_week_paid,1.2189640233563619e-4
11,3_week_paid,0
12,3_week_paid,0
13,3_week_paid,0
14,3_week_paid,0
15,3_week_paid,6.580879914603905e-243
16,3_week_paid,0
1,3_week_vacat,1.0984211238396657e-212
2,3_week_vacat,8.119962033950458e-239
3,3_week_vacat,1.9407563663814164e-168
4,3_week_vacat,6.28107847723533e-252
5,3_week_vacat,6.274230627656307e-231
6,3_week_vacat,1.1118665119881668e-239
7,3_week_vacat,1.0810087395264928e-260
8,3_week_vacat,1.6563357879511035e-86
9,3_week_vacat,2.566765066007726e-249
10,3_week_vacat,4.875856093425453e-4
11,3_week_vacat,3.857707398246876e-220
12,3_week_vacat,1.8487964918884175e-226
13,3_week_vacat,8.83630310100346e-189
14,3_week_vacat,1.1702015039901423e-136
15,3_week_vacat,4.333807934673571e-204
16,3_week_vacat,2.9584141464987403e-93
1,30_cv_brand,3.854509008046076e-185
2,30_cv_brand,7.295029159465309e-262
3,30_cv_brand,1.7448683554723992e-215
4,30_cv_brand,2.4057372735305436e-4
5,30_cv_brand,3.65226408220647e-309
6,30_cv_brand,5.274298200934582e-249
7,30_cv_brand,3.3692545898614762e-189
8,30_cv_brand,4.716713794609355e-254
9,30_cv_brand,1.4906152479385758e-140
10,30_cv_brand,9.449272714752205e-284
11,30_cv_brand,2.2088692881464808e-117
12,30_cv_brand,2.6563834345163113e-254
13,30_cv_brand,1.6503319685359419e-217
14,30_cv_brand,3.894820131797095e-147
15,30_cv_brand,4.922870564481438e-247
16,30_cv_brand,4.253559105940771e-250
1,30_discount_cv,2.1905193409113753e-240
2,30_discount_cv,5.83e-322
3,30_discount_cv,3.426433737621129e-285
4,30_discount_cv,3.6086059102958195e-4
5,30_discount_cv,0
6,30_discount_cv,3.832272497409745e-284
7,30_discount_cv,2.301226996627391e-269
8,30_discount_cv,0
9,30_discount_cv,3.5572915027079626e-225
10,30_discount_cv,1.497271981055546e-246
11,30_discount_cv,3.1114845303157683e-228
12,30_discount_cv,0
13,30_discount_cv,5.464223388579232e-271
14,30_discount_cv,4.631968985962102e-290
15,30_discount_cv,1.70725925739301e-200
16,30_discount_cv,0
1,30_min_1,5.343429570139228e-304
2,30_min_1,0
3,30_min_1,0
4,30_min_1,9.905497585521313e-240
5,30_min_1,0
6,30_min_1,1.880928677296799e-4
7,30_min_1,1.2737092196037134e-275
8,30_min_1,0
9,30_min_1,0
10,30_min_1,0
11,30_min_1,0
12,30_min_1,0
13,30_min_1,0
14,30_min_1,0
15,30_min_1,0
16,30_min_1,1.8394662044678688e-272
1,30_min_break,9.640581300248696e-275
2,30_min_break,0
3,30_min_break,2.709991842751241e-276
4,30_min_break,5.885710139215054e-198
5,30_min_break,1.3881328656466386e-299
6,30_min_break,6.269762257656001e-4
7,30_min_break,2.433506260244498e-264
8,30_min_break,3.656929778396986e-309
9,30_min_break,0
10,30_min_break,4.0249406467646305e-235
11,30_min_break,6.13369e-318
12,30_min_break,0
13,30_min_break,1.911942387763612e-230
14,30_min_break,5.998477551095293e-287
15,30_min_break,1.7123638747885395e-300
16,30_min_break,2.1609704245635947e-225
1,30_min_lunch,1.7201482821863624e-262
2,30_min_lunch,7.392782756118837e-297
3,30_min_lunch,8.752138167349571e-296
4,30_min_lunch,3.2651971114647757e-218
5,30_min_lunch,1.334783544964418e-251
6,30_min_lunch,0.001567440564413999
7,30_min_lunch,5.583976121821125e-251
